Cartera,MDD Train (%),MDD Val (%),Ret Train (%),Ret Val (%),Ret Acum Val (%),Dur DD Val (días)
Min MDD,8.05,2.95,0.10,0.11,2.12,15
Max Return,20.25,19.49,0.32,-0.33,-7.34,20
Best Sortino,12.33,9.01,0.20,-0.10,-2.07,18
