Cartera,MDD Train (%),MDD Val (%),Ret Train (%),Ret Val (%),Ret Acum Val (%),Dur DD Val (días)
Min MDD,7.96,3.08,0.11,0.10,1.97,15
Max Return,20.60,20.00,0.32,-0.34,-7.59,20
Best Sortino,12.27,8.95,0.20,-0.09,-2.04,18
