Cartera,MDD Train (%),MDD Val (%),Ret Train (%),Ret Val (%),Ret Acum Val (%),Dur DD Val (dias)
Min MDD,7.87,2.66,0.12,0.06,1.08,17
Best Sortino,11.16,1.18,0.25,0.21,4.20,3
Max Return,20.62,2.13,0.36,0.26,5.17,4
