Cartera,MDD Train (%),MDD Val (%),Ret Train (%),Ret Val (%),Ret Acum Val (%),Dur DD Val (dias)
Min MDD,7.82,2.65,0.12,0.06,1.09,17
Best Sortino,11.03,1.16,0.25,0.21,4.17,3
Max Return,20.79,2.05,0.36,0.26,5.15,4
