Cartera,MDD Train (%),MDD Val (%),Ret Train (%),Ret Val (%),Ret Acum Val (%),Dur DD Val (dias)
Min MDD,8.55,1.85,0.15,0.09,1.72,16
Best Sortino,11.13,1.20,0.25,0.21,4.18,3
Max Return,20.68,2.04,0.36,0.26,5.16,4
