Date,ACS.MC,AENA.MC,ANA.MC,ENG.MC,GRF.MC,MAP.MC,MEL.MC,NTGY.MC,RED.MC,SAB.MC
2025-01-03,-0.006964434808546249,0.0019821406954245724,0.01520567892503033,-0.008361191234331988,-0.006133749909443709,-0.0016141782568527274,-0.026737925494749515,0.004170151818214007,-0.005444679778162764,0.001612428978672975
2025-01-06,-0.00041252167234906434,-0.006923871636537071,-0.005286278924633847,-0.0016863546144142427,0.017024837542872984,0.0048503641228629935,0.004120832319542966,-0.00996681865162985,-0.003649698256237066,0.0413200534828968
2025-01-07,-0.013206715429158189,0.005976139868931973,-0.004428713378417548,0.00591216973342279,0.005440507477858736,0.0032180681711160286,-0.002051993641361216,-0.002516679435227709,-0.001831411668731242,-0.0015459543216578275
2025-01-08,0.008783017139840421,-0.008910905085900422,-0.01779358631089556,0.006717017688044891,-0.019771007234838045,0.0080192134453283,-0.008224785240014909,-0.0016821952084863367,0.004281297384548521,0.02348393806285798
2025-01-09,0.006633430446238764,0.011987996282233349,-0.0018116434096779876,-0.0050041298086943575,-0.0329088216610548,0.013524288764787507,-0.006219795413460516,0.006739766807942971,-0.001827071881805531,0.013111399573576765
2025-01-10,-0.02182860971313716,-0.02369197327690442,-0.036297625837691694,-0.02347027263828283,-0.005707948021599796,-0.02119308462480851,0.003477113646636054,-0.03514654400903494,-0.02501526108883545,0.004479727509301368
2025-01-13,-0.0046316931274881235,-0.011628054017313816,-0.0018832160818806898,0.007725343900922832,-0.030691109996689447,0.007217452232856525,-0.02564103773998261,0.00867313892387811,0.0025032349526710185,0.02130831293484481
2025-01-14,-0.0012689752612868865,0.0025576794621720023,0.00943392082701,0.0,0.02642369986743809,0.00636932042431404,-0.031294512377316286,-0.00171971247953151,-0.001248523393581058,0.013585589599430348
2025-01-15,0.008894449907361324,-0.0010205043094931865,0.04859812587846224,0.0025554293015750407,-0.0026630688008332237,0.028480935168831545,0.0,0.01033586985633872,-0.003124991803289956,0.005744417353154896
2025-01-16,-0.001259302634157411,0.0005107734012037568,-0.015151470394406896,0.005097664461090945,-0.011348531980860277,0.0030769682718307934,-0.005139478449063595,0.0025576222408969507,0.005642731146526581,-0.0019038485300734154
