Cartera,MDD Train (%),MDD Val (%),Ret Train (%),Ret Val (%),Ret Acum Val (%),Dur DD Val (dias)
Min MDD,7.71,4.50,0.04,-0.05,-1.05,16
Best Sortino,11.54,10.62,0.25,-0.45,-9.08,19
Max Return,18.74,8.30,0.29,-0.19,-4.09,20
