Cartera,MDD Train (%),MDD Val (%),Ret Train (%),Ret Val (%),Ret Acum Val (%),Dur DD Val (dias)
Min MDD,7.83,3.27,0.05,-0.01,-0.16,16
Best Sortino,11.19,10.82,0.24,-0.46,-9.35,19
Max Return,18.74,8.30,0.29,-0.19,-4.09,20
