Algoritmo,Ventana,Train_Start,Train_End,Test_Start,Test_End,Cartera,MDD_Test_%,Ret_Medio_Test_%,Ret_Acum_Test_%
NSGA-II,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Min MDD,4.24,-0.14,-2.83
NSGA-II,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Best Sortino,2.77,0.06,1.06
NSGA-II,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Max Return,5.28,0.43,8.79
NSGA-II,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Min MDD,2.13,0.19,3.82
NSGA-II,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Best Sortino,3.03,0.25,4.98
NSGA-II,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Max Return,4.48,0.2,3.84
NSGA-II,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Min MDD,3.45,-0.08,-1.57
NSGA-II,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Best Sortino,2.47,0.03,0.61
NSGA-II,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Max Return,2.71,0.37,7.42
NSGA-II,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Min MDD,0.79,0.42,8.72
NSGA-II,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Best Sortino,1.15,0.11,2.2
NSGA-II,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Max Return,3.72,-0.05,-1.04
NSGA-II,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Min MDD,3.5,0.33,6.79
NSGA-II,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Best Sortino,4.25,0.3,6.0
NSGA-II,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Max Return,4.55,0.49,9.97
NSGA-II,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Min MDD,2.44,-0.06,-1.23
NSGA-II,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Best Sortino,2.44,-0.06,-1.23
NSGA-II,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Max Return,6.41,-0.25,-5.01
NSGA-II,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Min MDD,2.35,0.06,1.22
NSGA-II,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Best Sortino,2.48,0.04,0.79
NSGA-II,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Max Return,3.64,0.32,6.53
SPEA2,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Min MDD,4.22,-0.11,-2.19
SPEA2,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Best Sortino,2.76,0.06,1.17
SPEA2,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Max Return,5.38,0.4,8.06
SPEA2,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Min MDD,2.17,0.21,4.17
SPEA2,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Best Sortino,3.88,0.26,5.13
SPEA2,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Max Return,6.49,0.25,4.8
SPEA2,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Min MDD,3.26,-0.07,-1.52
SPEA2,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Best Sortino,2.47,0.04,0.69
SPEA2,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Max Return,3.22,0.23,4.59
SPEA2,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Min MDD,0.79,0.42,8.73
SPEA2,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Best Sortino,2.68,0.01,0.03
SPEA2,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Max Return,6.57,-0.19,-3.99
SPEA2,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Min MDD,4.24,0.27,5.53
SPEA2,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Best Sortino,4.24,0.27,5.53
SPEA2,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Max Return,4.55,0.49,9.97
SPEA2,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Min MDD,2.4,0.1,2.02
SPEA2,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Best Sortino,3.77,-0.06,-1.24
SPEA2,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Max Return,6.41,-0.25,-5.01
SPEA2,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Min MDD,2.48,0.04,0.8
SPEA2,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Best Sortino,2.48,0.04,0.8
SPEA2,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Max Return,3.64,0.32,6.53
NPGA2,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Min MDD,4.26,-0.14,-2.84
NPGA2,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Best Sortino,2.76,0.09,1.75
NPGA2,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Max Return,5.22,0.38,7.68
NPGA2,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Min MDD,2.09,0.2,3.97
