Date,ACS.MC,AENA.MC,ANA.MC,ENG.MC,GRF.MC,MAP.MC,MEL.MC,NTGY.MC,RED.MC,SAB.MC
2024-01-03,-0.023296269473472186,-0.026796610354862804,-0.034168565918900606,0.01005184219502575,-0.02691790057854393,-0.0091324389097176,-0.020253188744249973,-0.009622486592880897,0.003939266526782115,0.013077586994342472
2024-01-04,0.013448409463240552,0.01408011446733659,0.0066824794796880305,0.01412525370818063,0.033194967588252355,0.012288834766102319,0.012919859392177768,0.012705433451824844,0.021081368062998207,0.02839940423527154
2024-01-05,-0.006008753953880452,-0.005245216349390902,-0.010152320884761479,-0.004115246309513765,-0.02476566967215521,0.012645429341423986,0.0008504493342653685,-0.0014759745962033,-0.008991044145025273,0.022175848201859027
2024-01-08,0.0070527678923970605,0.0034118118015658006,-0.007495031272625408,-0.006675122016151169,-0.0226493090657498,0.012987113191373911,0.011044941332557734,-0.0007390781586884554,0.0036962853355020364,0.010233265228570598
2024-01-09,-0.011005590441935276,0.015455981325082302,0.011526208113762815,0.007039920943076261,-0.25912921034276826,-0.008875888064857396,-0.0058822809182721425,-0.0014792495984464749,-0.00435230151504129,-0.017423034887204647
2024-01-10,-0.002782068847561159,0.010654537510082829,0.010609075837060722,-0.006673001292327618,0.11990519086160178,-0.0009949459686303674,0.00422650252089718,-0.0029630470652508567,-0.007061122678851839,-0.038350542370712115
2024-01-11,0.003804314110447349,0.0036144306571803675,-0.004665646617675545,-0.002879049714613835,-0.16174344833713727,-0.0019921390088604163,-0.013468002028284132,-0.0007429218220643685,0.007450005861581621,-0.00814752965045773
2024-01-12,0.015411816670603207,0.013505415316934055,0.021093697240948117,0.0192492477869608,-0.10399846933998957,0.005988080851185185,0.003412903345031637,0.010408969593008077,0.02218481217399404,-0.005187980656909064
2024-01-15,0.0017416689990710221,-0.0002962528844530077,-0.022570729161473402,-0.0018885780975128608,0.0024791993845165727,0.00198416774305632,-0.00425166067414795,-0.002207445265095087,0.0009866065176771244,0.0017382452054595099
2024-01-16,-0.012170906504640144,-0.014514116384125364,-0.040313128173594226,-0.0022074526114281845,0.00989205570509566,-0.0019802386174678777,-0.010247622000524315,-0.014749351954650991,-0.005913318495129216,-0.020824307558560795
2024-01-17,-0.002263074209722382,-0.02765257302126556,-0.04771612160142946,-0.012326160107659634,-0.04051643739048294,-0.013392917593198383,0.00949088447323776,-0.022455061237248275,-0.017184413575827784,-0.007975208531042055
2024-01-18,-0.0002519163829585169,0.011437458478931184,0.003854332961325424,-0.007680015699247256,-0.02412998778832043,-0.009552518196093707,0.026495762885855312,-0.014548268286279753,0.01311362521941195,0.024564535339734794
2024-01-19,0.017621948064625137,-0.0015282001526404354,-0.014505031783463185,-0.020316033624745877,-0.005230606993802067,-0.002030363454458284,0.01998337130380179,-0.017094070356943214,-0.013607663904997014,0.003051603775660938
2024-01-22,0.007860090246839535,0.011019268695334539,0.019913419604275395,0.015470724368074285,0.05353729922489481,0.010681551837438796,0.013061213140244332,0.02608703921923272,0.016823710196322228,0.015210697463224676
2024-01-23,-0.010565922808226325,-0.02543143555356764,0.019524547681311955,-0.009076169954677749,0.019736766503476888,-0.007045774750064737,0.0048347965733916975,-0.010015392452617733,-0.010588988626750617,0.0017122014275490205
2024-01-24,0.008390569476762089,0.004970541171862797,0.004163212489143087,-0.0006543330416907134,0.05628486029052704,0.02686253837208996,0.011226885852270163,-0.005447582127228734,0.0023410652101170104,0.017094048416015584
2024-01-25,-0.00403433637470596,0.008037112980573635,0.0,-0.01080195125084682,-0.010109543936605458,0.0019743743443727535,0.007137250529984929,-0.009389590337872233,-0.008007954006783669,-0.031092394194899287
2024-01-26,0.0030378516186069238,0.0033732344321166785,0.009950284823893707,-0.009596229692318103,0.01702131765301451,0.0,0.0,-0.005529163079691091,0.011772543182543505,0.011708645859586753
