Algoritmo,Ventana,Train_Start,Train_End,Test_Start,Test_End,Cartera,MDD_Test_%,Ret_Medio_Test_%,Ret_Acum_Test_%
NPGA2,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Best Sortino,2.1,0.13,2.67
NPGA2,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Max Return,5.71,-0.05,-1.19
NPGA2,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Min MDD,3.02,0.03,0.57
NPGA2,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Best Sortino,5.19,0.01,0.02
NPGA2,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Max Return,2.15,0.44,9.06
NPGA2,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Min MDD,4.16,0.03,0.53
NPGA2,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Best Sortino,5.2,-0.03,-0.89
NPGA2,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Max Return,12.08,-0.27,-5.8
NPGA2,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Min MDD,3.88,0.12,2.3
NPGA2,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Best Sortino,4.37,0.18,3.37
NPGA2,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Max Return,4.84,0.23,4.46
NPGA2,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Min MDD,3.48,0.08,1.5
NPGA2,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Best Sortino,3.1,0.38,7.84
NPGA2,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Max Return,3.37,0.49,10.04
PESA,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Min MDD,2.28,0.11,2.25
PESA,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Best Sortino,4.74,0.13,2.51
PESA,1,2025-01-03,2025-07-02,2025-07-03,2025-07-30,Max Return,5.19,0.42,8.64
PESA,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Min MDD,5.86,0.04,0.53
PESA,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Best Sortino,3.77,0.02,0.26
PESA,2,2025-01-31,2025-07-30,2025-07-31,2025-08-27,Max Return,5.56,-0.26,-5.2
PESA,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Min MDD,3.87,-0.16,-3.28
PESA,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Best Sortino,2.18,0.15,2.88
PESA,3,2025-02-28,2025-08-27,2025-08-28,2025-09-24,Max Return,3.45,0.05,0.94
PESA,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Min MDD,2.35,0.05,0.91
PESA,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Best Sortino,5.46,-0.04,-0.97
PESA,4,2025-03-28,2025-09-24,2025-09-25,2025-10-22,Max Return,3.25,0.06,1.15
PESA,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Min MDD,4.05,0.05,0.86
PESA,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Best Sortino,3.96,0.11,2.0
PESA,5,2025-04-29,2025-10-22,2025-10-23,2025-11-19,Max Return,9.56,-0.18,-3.93
PESA,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Min MDD,3.94,0.22,4.22
PESA,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Best Sortino,3.94,0.22,4.22
PESA,6,2025-05-28,2025-11-19,2025-11-20,2025-12-17,Max Return,4.41,0.14,2.71
PESA,7,2025-06-25,2025-12-17,2025-12-18,2026-01-20,Min MDD,3.45,0.02,0.24
