Cartera,MDD Train (%),MDD Val (%),Ret Train (%),Ret Val (%),Ret Acum Val (%),Dur DD Val (dias)
Min MDD,5.31,2.64,0.10,0.22,4.35,12
Best Sortino,6.03,2.57,0.11,0.29,5.81,12
Max Return,14.21,4.12,0.18,0.59,12.23,10
