Cartera,MDD Train (%),MDD Val (%),Ret Train (%),Ret Val (%),Ret Acum Val (%),Dur DD Val (dias)
Min MDD,5.21,2.51,0.09,0.21,4.29,12
Best Sortino,6.05,2.58,0.11,0.29,5.85,12
Max Return,14.21,4.12,0.18,0.59,12.23,10
