Date,BBVA.MC,IBE.MC,ITX.MC,REP.MC,SAN.MC,TEF.MC
2025-04-03,-0.015318072848764408,0.03191852081302704,-0.021120863773489096,-0.05346036478442007,-0.05195219360525283,0.02240518399518998
2025-04-04,-0.09373760435634493,-0.03571440995243147,-0.017172963310802092,-0.05560426105846894,-0.08767850658292697,-0.03801427253817091
2025-04-07,-0.04841533918148033,-0.05158723469483528,-0.04838710693405757,-0.06861370437187808,-0.04568620168104953,-0.04695502914592953
2025-04-08,0.04038451594879344,0.006276158006479182,0.03578159768154232,-0.00846200988881396,0.04978070058972994,-0.004634109612518533
2025-04-09,-0.011090599750074426,-0.02113656874085801,-0.0015910200988739076,-0.03815261415527227,-0.025254394998825647,-0.047047278744536625
2025-04-10,0.06355146303411674,0.027256646935610584,0.03095842938908766,0.019206727503138232,0.0553588840770618,0.015685304376688247
2025-04-11,-0.008787367138182622,0.013783636945344124,0.0022079950103250923,-0.017615759809007536,-0.01306971718943517,0.011645602903725072
2025-04-14,0.03324464950855677,0.019714458037806804,0.01564210271434452,0.03565471526314967,0.037580563528266,0.031281161472496155
2025-04-15,0.021879053563572226,0.012333370049630421,0.018655169403043903,0.004630572926914045,0.03587449753140448,0.010919753806966082
2025-04-16,0.003358530313199992,0.012182980609898753,-0.006175423180984518,0.017034042348558875,0.0031635069128239657,0.024723939629119007
2025-04-17,-0.007112924764342332,0.006180965570925512,0.004499734421160806,0.017241436671793897,-0.013776023725589726,0.01405482814811121
2025-04-22,0.004214042620368952,0.010992597918526581,0.013651837652460808,0.0,0.018680642344513165,0.008778057182670773
2025-04-23,0.03692824535156225,-0.017588784057923745,0.018728922607644582,0.013074964543997591,0.044110398928034256,-0.002748002102610392
2025-04-24,-0.008498624055883197,-0.0016276491023814454,-0.005164227153304779,0.009082268103686397,-0.010443017085948525,0.0009185641243387721
2025-04-25,0.016734754783680916,0.007825245833978256,0.011212585200408576,0.015632395367636276,0.025903326083238865,0.008258783220550736
2025-04-28,0.011240411609270806,0.009058589341618406,-0.0030800851842631705,0.004664194598346771,0.018547420935271175,0.014334426793562338
2025-04-29,-0.02024607863160499,0.009939115824925349,-0.016977542244038024,-0.0018570353563569508,0.0012451588884372367,0.005159250390656789
2025-04-30,-0.022690409797960442,0.009206338651812418,0.007249491071081415,0.00558147105816631,-0.03901752574953654,0.008257227882822349
2025-05-02,0.013266946055151108,-0.006605920845749513,0.014182878798665977,-0.0037003274349602933,0.025072782920274816,-0.004869605157470258
2025-05-05,0.018003234086377162,0.009183080255180887,-0.0029221311576714815,0.006963811326347935,0.007416710316912267,-0.005115530724316697
2025-05-06,0.006029013979550912,0.0021963840290748493,-0.008373532431633968,0.012448041555998657,-0.0054824890543189175,0.01587301222747306
2025-05-07,0.0027966305435889183,0.002504802812682172,-0.02871016788063563,-0.003642943622211181,0.00031507373741823663,-0.003521205570355068
2025-05-08,0.020318753031273173,-0.03247977702836935,0.0049989807278632,0.013254082651059651,0.03306562553688841,-0.013250897421877461
2025-05-09,0.0007809075890239381,0.0,0.005190358830358566,0.016238195776128617,0.014022247504135388,0.0017905505376709652
2025-05-12,0.017947720878540574,-0.01775343146340702,0.023020544758013628,0.03195746005930644,0.016834523757476072,-0.01318140646271404
2025-05-13,0.014181654661735044,-0.0013145156039005013,0.018506922049599694,0.015483903792637976,0.0026607842914798674,-0.001131971819553379
2025-05-14,0.013227525866250867,0.0032905819403004077,-0.013834465046756672,-0.004659127148515241,0.016806722083437586,-0.02243876769327846
2025-05-15,-0.004475877606257228,0.020990535858552928,0.009212814840878325,-0.007659547563202973,-0.003914754729073433,0.012288422429616253
2025-05-16,0.004121309334412349,0.013170632870098009,0.017219848332789223,0.011149247172844712,0.006259078011338071,0.015345888982249756
2025-05-19,0.004850776607919771,0.0031704757549948503,-0.010809706699721922,-0.006361343914945361,0.004339605242799305,0.014211434498715203
2025-05-20,0.02265131593604064,0.020859696583723997,-0.001030916926783365,0.008109305733614125,0.014547141826641186,0.012010803668202064
2025-05-21,-0.005446690634718698,0.00030961836006171417,0.002476802837727332,-0.004657068041732715,-0.0011358083536116004,0.00461533268541281
2025-05-22,-0.0010952013478229272,0.0012383970490139617,-0.007000229114662471,-0.013185903639451158,0.0054007728193803395,0.007875746463128497
2025-05-23,-0.03033631016900873,0.0027829316387426584,-0.024051394720453145,-0.009051736039344616,-0.014701716673391818,-0.0002170797984001327
2025-05-26,0.012815748952662354,0.0015417756638147484,-0.00403659910235743,0.016093971007902663,0.012625628202382,0.005861981096463076
2025-05-27,0.008187551549307504,-0.003386733790856189,-0.0006399586654066702,0.01070208967379549,0.006659066687565662,0.0047485107548279615
2025-05-28,-0.022517605616850456,-0.009576654275785246,-0.004909266949142177,0.0008469800622921131,-0.009992912432801093,0.0004296827586207641
2025-05-29,0.0007553267280637765,-0.003431101204373621,0.01522959164016835,-0.002115874759614833,-0.0005686420526157532,0.003220905687531417
2025-05-30,-0.0030188751248778622,0.006572728986748322,0.008240029431774376,0.005513112650284757,0.00014220662824748764,0.008561615973268877
2025-06-02,0.0007570420556304303,0.0,-0.005867614163110768,0.013918172086280878,0.0014222812568138732,0.0014855884943851816
2025-06-03,-0.004160429791172593,-0.009950242928032371,-0.0050589850176756546,0.009983325935313259,-0.0058230294500084545,-0.009959729390034755
2025-06-04,-0.0034181053120586613,0.00031405654313121367,0.004660933988278382,-0.017298127541480857,-0.007142969380440012,-0.0023545460902176796
2025-06-05,0.006097575429967472,0.0028257459956355646,0.0023197384804123367,0.002933755688477868,0.01424466234887456,0.009440081638230735
2025-06-06,0.0030302341653751785,0.0025047724584912334,0.012623638679923888,0.00208943439453102,0.004114124993723767,-0.003400495707294504
2025-06-09,0.0007553267280637765,-0.0006247059692674473,0.011219510874829641,0.0020850777613412586,0.0007064184274923058,-0.0059716106128226976
2025-06-10,-0.004905615289455434,0.009375021881164791,0.011095192280708321,0.017894221351616002,-0.020189249714557378,-0.004076291191049797
2025-06-11,0.005309037706098918,0.0,-0.04369024601217597,-0.0036794221361901025,0.003170033710709008,-0.007108956754372064
2025-06-12,-0.0030177362966237187,0.008049611513010202,-0.017424597147675858,0.01107911481965762,0.0053145123134819006,-0.00021698559202298906
2025-06-13,-0.01967458294172042,-0.004606981260456666,-0.011245692095224746,-0.005275942069624451,-0.020002768723316855,-0.0030382346492291434
2025-06-16,0.01968346918491992,0.001542727136072397,0.0008748123043231804,0.010607934044286393,0.039218464498566696,0.030039212888831823
2025-06-17,-0.0121119893649565,0.0009243570840529181,-0.018575065918049805,0.01776341669147441,-0.026795718166218174,-0.007856796584952974
2025-06-18,0.0019156556454067442,-0.0030779786113626084,-0.010688052322980202,-0.00634669281362199,0.0036038849795514416,0.0072590603133950715
2025-06-19,-0.017973178540530488,0.0024699119895659205,-0.013279370370498755,0.02315372115272285,-0.02398734898059751,-0.0002183269982296565
2025-06-20,0.005451608971233535,0.012627095826584611,0.008668007843924075,-0.0003901530979600887,0.017660005716641836,-0.007645286518438432
2025-06-23,-0.009295065103690048,0.012469459563479113,0.0022613067569605683,0.0023419121432661782,-0.00838755711373984,0.0017610040032871588
2025-06-24,0.02541047889766901,0.0036047661059543934,0.0006769237839931996,-0.02492213724883885,0.03135486552509725,0.00549328590496323
2025-06-25,-0.030880610938588293,-0.021550495198524477,-0.017136393587780074,-0.0023961577781257404,-0.023897104441416905,-0.02163462818723172
2025-06-26,0.0039338799998074325,0.0027531359236592223,-0.008258850301240628,-0.006405129018956512,-0.002462698003752206,0.0015635524524966193
2025-06-27,0.019592404764712912,-0.003965719152560387,0.019431038177855298,0.011281212925194462,0.021928639789656534,0.00022295255514159784
2025-06-30,0.0034589825817805675,-0.002143978059190643,0.0024960741874882064,-0.009163328324495068,-0.0014211379913388056,-0.006020040630422496
2025-07-01,-0.015702851579872057,0.005831785479687435,0.004300471139710549,0.006433458890799271,-0.008823080286440854,0.020412701147014323
2025-07-02,0.014396862886429052,-0.005797972945253638,-0.008564201529066895,0.015181783201110521,0.02225412017348427,0.001318929020451165
2025-07-03,0.01687767772513671,0.0030693543723359085,0.011593402027663124,0.01141288357497583,0.01797751188928487,-0.0028539700287831815
2025-07-04,-0.025650682831903637,-0.0019459083471161653,-0.021797753347221005,0.005667930692853984,-0.016418326204167943,0.0028621384862410615
2025-07-07,0.018195841900362497,-0.010691841257964407,0.01056756713619933,-0.0020128013500710917,0.023846198946101183,-0.0017562556507231264
2025-07-08,0.016349830105229612,-0.006357220837609812,-0.017276809983357344,0.035901536183249316,0.010412408115764382,-0.010996237599589453
2025-07-09,0.017583338012474803,0.0015994579542559784,0.006939643447133603,-0.0046728925433094926,0.023728890405800396,0.004669796233106149
2025-07-10,-0.018382431863511406,-0.005110178518813235,0.010797273199496304,0.002738574452987308,-0.027682128707575915,-0.006197454129526103
2025-07-11,-0.031086121972278224,0.0,-0.013409145126513478,0.013655936193046614,-0.017572549421775552,-0.0022272109660397277
2025-07-14,0.005025079246914421,0.008667746998331172,-0.015664645279354628,-0.008852955104936333,0.0026344866956931057,0.006696547522195173
2025-07-15,-0.019615412249640585,-0.010184637353149784,-0.01802008373983488,0.0031067930313788406,-0.012031521848989701,-0.004434668049458468
2025-07-16,-0.003923155956115587,0.003215497844265114,-0.0023831968254147684,-0.005807195180317359,0.003919341597690806,-0.0011136054830198638
2025-07-17,0.005907990620932502,-0.0006410630965082431,0.010988969537031323,0.0,0.016452916664252637,-0.0011148469827325647
2025-07-18,-0.0007831264532385251,-0.00032073716101177485,-0.005907403082061724,0.019470385597122997,-0.004938260842450193,0.005133930950443899
2025-07-21,-0.007445217596414699,0.010907942035184082,-0.0007130333851445014,-0.0026737941799070963,0.004135606543271164,0.010215416657139986
2025-07-22,-0.003158238781831968,0.008886096654001419,0.0,0.0007659892919698041,-0.007688089330641024,0.002637967377635997
2025-07-23,0.01782176471135144,-0.0468701483081434,0.02045675337282238,0.01033294051980116,0.02144444411379043,-0.0015347565545031916
2025-07-24,0.011284015006940429,0.006600663435135656,0.0032633868333085125,0.020075812636676238,0.02627651244903606,0.014931996229839983
2025-07-25,0.0026934079945277745,0.006229555724707625,0.008131975310668782,0.008911984945687124,0.0021116921938617583,0.001730796940307311
2025-07-28,0.011511884161704122,-0.01010103364350845,-0.003917966256634986,0.01582626294392009,-0.005399703891567298,-0.015982639433841483
2025-07-29,0.024279192097758973,0.004937493059822273,0.0025450726288742676,0.004347821749000502,0.02184845315131856,0.00307288148249385
2025-07-30,0.00444445501379942,0.007533570589009386,-0.01130855160018629,-0.027777750183035965,-0.002980400106424752,0.001312868132011591
2025-07-31,0.07964605829372196,-0.0016255198062147258,-0.02170867418135658,-0.014471301241318901,-0.02053555453443834,-0.011363598074550008
2025-08-01,-0.019467275605236867,-0.005861248040175848,-0.018611244077050282,-0.02334335102036067,-0.04524931582062475,0.00574705187914315
2025-08-04,0.030999673476507894,0.015394643675130215,0.005591907910453164,-0.005397064841742516,0.03961073528647385,0.008131880961094629
2025-08-05,0.008783770730006024,-0.0012903356968180235,-0.0019342536993341986,0.013178281512629786,0.001470623219560263,-0.002398058912487455
2025-08-06,0.020763579228410878,0.004521978628221568,0.006056137612889145,0.016449869141927476,0.015618757544785034,0.017482500380692434
2025-08-07,0.016732306660889318,0.003215497844265114,0.01926336130731543,-0.00037636395845752624,0.021950567865797188,-0.005798943467431705
