Algoritmo,Ventana,Train_Start,Train_End,Test_Start,Test_End,Cartera,MDD_Test_%,Ret_Medio_Test_%,Ret_Acum_Test_%
NSGA-II,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Min MDD,1.41,0.04,0.71
NSGA-II,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Best Sortino,1.43,0.04,0.66
NSGA-II,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Max Return,2.16,0.38,7.7
NSGA-II,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Min MDD,8.2,-0.05,-1.2
NSGA-II,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Best Sortino,8.84,-0.03,-0.72
NSGA-II,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Max Return,14.49,-0.15,-3.39
NSGA-II,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Min MDD,1.92,0.04,0.66
NSGA-II,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Best Sortino,1.75,0.03,0.56
NSGA-II,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Max Return,7.17,0.1,1.73
NSGA-II,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Min MDD,4.48,-0.01,-0.27
NSGA-II,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Best Sortino,4.93,-0.03,-0.66
NSGA-II,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Max Return,6.64,-0.08,-1.96
NSGA-II,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Min MDD,5.33,-0.16,-3.29
NSGA-II,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Best Sortino,5.33,-0.16,-3.29
NSGA-II,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Max Return,4.58,0.45,8.95
NSGA-II,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Min MDD,3.14,-0.08,-1.57
NSGA-II,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Best Sortino,3.14,-0.08,-1.57
NSGA-II,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Max Return,14.5,-0.32,-6.73
NSGA-II,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Min MDD,3.08,0.01,0.05
NSGA-II,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Best Sortino,3.12,-0.01,-0.25
NSGA-II,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Max Return,3.28,-0.02,-0.53
SPEA2,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Min MDD,1.43,0.03,0.49
SPEA2,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Best Sortino,1.42,0.13,2.67
SPEA2,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Max Return,2.16,0.38,7.7
SPEA2,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Min MDD,7.88,-0.0,-0.23
SPEA2,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Best Sortino,11.0,-0.1,-2.26
SPEA2,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Max Return,14.95,-0.16,-3.71
SPEA2,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Min MDD,1.35,0.1,2.0
SPEA2,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Best Sortino,1.94,0.05,0.99
SPEA2,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Max Return,7.55,0.1,1.8
SPEA2,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Min MDD,3.97,0.01,0.11
SPEA2,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Best Sortino,5.09,-0.04,-0.82
SPEA2,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Max Return,7.54,-0.08,-1.96
SPEA2,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Min MDD,5.5,-0.14,-2.93
SPEA2,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Best Sortino,5.5,-0.14,-2.93
SPEA2,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Max Return,4.58,0.45,8.95
SPEA2,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Min MDD,3.23,-0.05,-1.03
SPEA2,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Best Sortino,3.28,-0.1,-1.94
SPEA2,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Max Return,22.1,-0.46,-10.31
SPEA2,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Min MDD,3.29,-0.04,-0.82
SPEA2,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Best Sortino,3.4,-0.05,-1.15
SPEA2,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Max Return,3.28,-0.02,-0.53
NPGA2,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Min MDD,2.88,-0.03,-0.63
NPGA2,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Best Sortino,1.41,0.04,0.85
NPGA2,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Max Return,2.16,0.38,7.7
NPGA2,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Min MDD,8.96,-0.03,-0.87
NPGA2,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Best Sortino,9.23,-0.04,-0.98
NPGA2,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Max Return,14.95,-0.16,-3.71
NPGA2,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Min MDD,2.0,0.04,0.8
NPGA2,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Best Sortino,1.94,0.04,0.79
NPGA2,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Max Return,7.55,0.1,1.8
NPGA2,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Min MDD,3.66,0.0,-0.03
NPGA2,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Best Sortino,5.41,-0.04,-1.02
NPGA2,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Max Return,7.54,-0.08,-1.96
NPGA2,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Min MDD,5.08,-0.14,-2.77
NPGA2,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Best Sortino,5.82,-0.17,-3.53
NPGA2,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Max Return,4.58,0.45,8.95
NPGA2,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Min MDD,3.34,-0.09,-1.78
NPGA2,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Best Sortino,3.34,-0.09,-1.78
NPGA2,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Max Return,19.16,-0.4,-8.86
NPGA2,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Min MDD,3.1,0.0,-0.02
NPGA2,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Best Sortino,3.43,-0.05,-1.14
NPGA2,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Max Return,3.28,-0.02,-0.53
PESA,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Min MDD,1.58,0.09,1.82
PESA,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Best Sortino,1.92,0.21,4.23
PESA,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Max Return,2.16,0.38,7.7
PESA,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Min MDD,8.88,-0.08,-1.82
PESA,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Best Sortino,11.24,-0.1,-2.31
PESA,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Max Return,14.06,-0.16,-3.54
PESA,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Min MDD,1.87,0.04,0.82
PESA,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Best Sortino,1.87,0.04,0.82
PESA,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Max Return,6.79,0.1,1.87
PESA,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Min MDD,4.07,0.01,0.17
PESA,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Best Sortino,4.66,-0.01,-0.39
PESA,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Max Return,7.25,-0.08,-1.96
PESA,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Min MDD,4.83,-0.1,-2.16
PESA,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Best Sortino,6.0,-0.15,-3.03
PESA,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Max Return,3.45,0.2,3.72
PESA,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Min MDD,3.0,-0.07,-1.38
PESA,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Best Sortino,3.33,-0.09,-1.84
PESA,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Max Return,17.12,-0.37,-7.9
PESA,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Min MDD,2.83,0.14,2.8
PESA,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Best Sortino,2.52,0.06,1.21
PESA,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Max Return,3.28,-0.02,-0.53
e-MOEA,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Min MDD,1.7,0.02,0.33
e-MOEA,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Best Sortino,1.46,0.03,0.49
e-MOEA,1,2024-01-03,2024-07-01,2024-07-02,2024-07-29,Max Return,2.16,0.38,7.7
e-MOEA,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Min MDD,7.74,-0.03,-0.75
e-MOEA,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Best Sortino,11.35,-0.11,-2.38
e-MOEA,2,2024-01-31,2024-07-29,2024-07-30,2024-08-26,Max Return,14.95,-0.16,-3.71
