Algoritmo,Ventana,Train_Start,Train_End,Test_Start,Test_End,Cartera,MDD_Test_%,Ret_Medio_Test_%,Ret_Acum_Test_%
e-MOEA,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Min MDD,1.75,0.12,2.28
e-MOEA,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Best Sortino,2.07,0.05,0.96
e-MOEA,3,2024-02-28,2024-08-26,2024-08-27,2024-09-23,Max Return,7.55,0.1,1.8
e-MOEA,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Min MDD,4.25,0.0,-0.06
e-MOEA,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Best Sortino,4.99,-0.03,-0.72
e-MOEA,4,2024-03-27,2024-09-23,2024-09-24,2024-10-21,Max Return,6.44,-0.06,-1.47
e-MOEA,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Min MDD,6.24,-0.18,-3.61
e-MOEA,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Best Sortino,6.56,-0.18,-3.69
e-MOEA,5,2024-04-26,2024-10-21,2024-10-22,2024-11-18,Max Return,4.58,0.45,8.95
e-MOEA,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Min MDD,3.02,-0.07,-1.43
e-MOEA,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Best Sortino,3.02,-0.07,-1.43
e-MOEA,6,2024-05-27,2024-11-18,2024-11-19,2024-12-16,Max Return,20.22,-0.42,-9.37
e-MOEA,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Min MDD,3.6,-0.07,-1.44
e-MOEA,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Best Sortino,3.6,-0.07,-1.44
e-MOEA,7,2024-06-24,2024-12-16,2024-12-17,2025-01-17,Max Return,3.28,-0.02,-0.53
