Cartera,MDD Train (%),MDD Val (%),Ret Train (%),Ret Val (%),Ret Acum Val (%),Dur DD Val (dias)
Min MDD,4.87,2.20,0.10,0.15,3.05,5
Best Sortino,4.96,2.12,0.10,0.18,3.63,5
Max Return,15.95,0.94,0.23,1.08,23.84,2
