Cartera,MDD Train (%),MDD Val (%),Ret Train (%),Ret Val (%),Ret Acum Val (%),Dur DD Val (dias)
Min MDD,4.85,2.19,0.10,0.17,3.31,5
Best Sortino,4.89,2.14,0.10,0.18,3.57,5
Max Return,15.95,0.94,0.23,1.08,23.84,2
