Cartera,MDD Train (%),MDD Val (%),Ret Train (%),Ret Val (%),Ret Acum Val (%),Dur DD Val (dias)
Min MDD,4.88,2.18,0.10,0.16,3.26,5
Best Sortino,5.03,2.09,0.10,0.20,3.92,5
Max Return,15.95,0.94,0.23,1.08,23.84,2
